"","Df","F value","Pr(>F)","Df","F value","Pr(>F)","Df","F value","Pr(>F)","Df","F value","Pr(>F)","Df","F value","Pr(>F)"
"Elevation",1,6.87022042444123,0.0112630817165716,1,3.38210768877156,0.0712117598098693,1,0.227089476136204,0.635544603992778,1,3.9301080217376,0.0527240904757189,1,3.98523787267575,0.0511489506281788
"Fire",1,2.33587248455365,0.132053362595801,1,3.75408782549344,0.0577278206272929,1,4.38817565473515,0.0407250952076438,1,1.7105331462004,0.196668780008731,1,0.205074022400718,0.652539914587349
"Elevation:Fire",1,0.128051199933184,0.721806518841574,1,0.624680015401094,0.432647810764277,1,0.00593139777467329,0.938885668014863,1,0.114115129850545,0.736866871869117,1,0.710707311262668,0.403070291208113
"Residuals",56,NA,NA,56,NA,NA,56,NA,NA,52,NA,NA,52,NA,NA
