"","Df","F value","Pr(>F)"
"elevation_fac",1,9.92565669036572,0.00261584470605467
"fire",1,1.48119332453489,0.228692100700884
"elevation_fac:fire",1,0.00942928072714957,0.922990126461567
"Residuals",56,NA,NA
