"","Df","F value","Pr(>F)","Df","F value","Pr(>F)","Df","F value","Pr(>F)"
"Elevation",1,12.6570657432339,0.000770262887197032,1,19.0350512279681,5.56937340688042e-05,1,13.1152720362625,0.00063146642378539
"Fire",1,0.00626214227475933,0.937208383521091,1,0.559708374887757,0.457508279303775,1,0.295837315204776,0.5886629319961
"Elevation:Fire",1,1.89018321256755,0.174657512964453,1,5.77413954935526,0.0196018369419893,1,14.8779127974693,0.000298618560871928
"Residuals",56,NA,NA,56,NA,NA,56,NA,NA
