"","Df","F value","Pr(>F)","Df","F value","Pr(>F)","Df","F value","Pr(>F)","Df","F value","Pr(>F)","Df","F value","Pr(>F)","Df","F value","Pr(>F)"
"Elevation",1,0.340685415883433,0.563073300940485,1,13.3023556749996,0.000832068963668025,1,3.15842603899548,0.0839862100984513,1,2.55728030957405,0.118528317701169,1,0.0117702628014944,0.914208796369998,1,8.00666571378318,0.00757382636373027
"Fire",1,0.020662288456292,0.886504397921723,1,0.843467111248478,0.364519673559074,1,4.07130221950463,0.0511187651483919,1,0.5074365149631,0.480842281823908,1,8.30877468252738,0.00661518524603683,1,0.0499171172866292,0.824470552199633
"Elevation:Fire",1,0.187329294942945,0.667730820790177,1,0.0877810932962403,0.76871974357591,1,4.86313289509066,0.0339088229830063,1,0.37738809974286,0.542867619370456,1,0.407348862373463,0.527357672811683,1,1.45767660102839,0.235173072651211
"Residuals",36,NA,NA,36,NA,NA,36,NA,NA,36,NA,NA,36,NA,NA,36,NA,NA
