"","Site","Latitude","Longitude","Elevation","Slope","Aspect"
"1","GOR",44.3277967333333,-68.1854028666667,33.1798245613333,31.8666666666667,151.466666666667
"2","SCT",44.3330482,-68.223588,306.1622807,9.4,138.133333333333
"3","STS",44.3108628,-68.3262039333333,196.425438586667,13.3333333333333,262.6
"4","WON",44.2371234,-68.3160518,17.5657894746667,3.73333333333333,208.066666666667
