"","Chisq","Df","Pr(>Chisq)","Chisq","Df","Pr(>Chisq)"
"Elevation",5.73724017104805,1,0.0166088698482464,1.46613684530701,1,0.225956202970915
"Fire",0.0214269073555852,1,0.883621946228612,0.0150493769051595,1,0.902363747208357
"Elevation:Fire",0.376889869665604,1,0.539272443454048,1.6416222620774,1,0.200103032572333
