"","Df","F value","Pr(>F)","Df","F value","Pr(>F)","Df","F value","Pr(>F)","Df","F value","Pr(>F)"
"Elevation",1,4.67474927339886,0.0396356893302402,1,0.189666683357195,0.667437191515912,1,3.85339662910708,0.0624116163963724,1,2.50254674587026,0.122409444665587
"Fire",1,2.7182019824948,0.110798794132994,1,0.259561620436044,0.615494093752735,1,1.49258975635908,0.234745188445347,1,12.4003240807126,0.00118586084415965
"Elevation:Fire",1,0.404210780231803,0.530275126181138,1,1.15311321299065,0.294535879639007,1,2.77139380138062,0.110141735319136,1,12.9808579575013,0.000943209501222527
"Residuals",27,NA,NA,22,NA,NA,22,NA,NA,36,NA,NA
