"","Chisq","Df","Pr(>Chisq)","Chisq","Df","Pr(>Chisq)","Chisq","Df","Pr(>Chisq)"
"Elevation",0.147990927690682,1,0.700462740697613,1.10383322144877,1,0.29342640883535,1.63923606406755,1,0.200430315403514
"Fire",4.05261052790721,1,0.0441030935635885,0.123667495475076,1,0.725090340227726,0.425103177447318,1,0.514401579324685
"Elevation:Fire",0.000548621287667824,1,0.981313125023738,0.391903314942435,1,0.531300631621994,1.70687135934074,1,0.191391799306181
