"","Df","F value","Pr(>F)","F value","Pr(>F)","F value","Pr(>F)"
"elevation_fac",1,0.86606528343262,0.358245954343559,3.6058758663818,0.0683105662907457,4.87135900889225,0.0359915337966046
"fire",1,11.148782946847,0.0019654811081673,0.0271779845133968,0.870284243700546,0.011157019869434,0.916659307538362
"elevation_fac:fire",1,17.0118700562149,0.000209268324890669,0.714805860397744,0.405283378403944,0.442924044112426,0.511360428723687
"Residuals",36,NA,NA,NA,NA,NA,NA
