"","Df","F value","Pr(>F)","Df","F value","Pr(>F)","Df","F value","Pr(>F)","Df","F value","Pr(>F)","Df","F value","Pr(>F)","Df","F value","Pr(>F)"
"Elevation",1,1.34169090636052,0.256879302764134,1,6.72903359551319,0.0151413548824715,1,2.28442727872351,0.142295198366104,1,2.52502358550861,0.12369589300449,1,2.8287394900151,0.104123364184525,1,2.07930957933721,0.160807619840612
"Fire",1,0.0317287809677042,0.859953965786536,1,0.0414238142802324,0.84024822862336,1,6.6637370862581,0.0155898999710607,1,0.25421283909489,0.618214014931397,1,1.01468215249115,0.32272645128895,1,0.0824274259664433,0.776226289439744
"Elevation:Fire",1,7.85068784421453,0.00928241034818619,1,0.135293657360588,0.715873157472328,1,0.0995149723047978,0.754837896310423,1,0.223783796831895,0.639973999522661,1,0.0648397332330696,0.800933357276604,1,2.88315160403909,0.101008796307031
"Residuals",27,NA,NA,27,NA,NA,27,NA,NA,27,NA,NA,27,NA,NA,27,NA,NA
