"ID","Name","height","canopy","diam","d13C","d15N","C_foliar","N_foliar","Ca_foliar","P_foliar","K_foliar","Mg_foliar","Al_foliar","Zn_foliar","Ca_soil","P_soil","K_soil","Mg_soil","Al_soil","Zn_soil","pH","CEC","C_soil","N_soil","ID1","longitude","latitude","Label","Elevation","Slope","Aspect","Compass","retention"
"PP-1-LOWELEV-DIST","WOND",472.4,548.6,21.6,-28.52,-5.98,47.75,1.07,1860,830,3720,910,320,51.5,1506,19.1,627,635,270,10.9,3.9,34.3,47.27,0.95,"PP-1",-68.315257,44.231664,"PP1",17,4,287,"West",25.4
"PP-2-LOWELEV-DIST","WOND",152.4,167.6,19.4,-28.89,-1.78,48.58,1.79,1420,2260,540,330,176,27.7,1007,12.4,394,416,38,8.6,3.5,33.1,32.15,0.91,"PP-2",-68.314908,44.231531,"PP2",18,0,323,"NE",14.8
"PP-3-LOWELEV-DIST","WOND",365.8,365.8,20.3,-29.14,-6.81,50.39,18.37,1710,930,3430,880,606,34,408,1.4,79,71,124,1.9,4.5,15.9,27.17,0.64,"PP-3",-68.31337,44.230862,"PP3",12,2,120,"SE",19.1
"PP-4-LOWELEV-DIST","WOND",365.8,609.6,20.3,-27.65,-6.81,47.37,1.05,1220,2700,460,570,274,24.7,476,1.5,183,207,86,3.2,4,18.7,18.62,0.31,"PP-4",-68.314917,44.231479,"PP4",18,2,205,"SW",9.3
"PP-5-LOWELEV-DIST","WOND",487.7,557.6,20.3,-28.19,-1.33,36.73,0.67,1480,810,3170,890,488,29.7,926,13.8,475,327,92,6.4,3.6,33.9,12.7,0.34,"PP-5",-68.31441,44.231365,"PP5",17,5,111,"East",18.6
"PP-6-LOWELEV-DIST","WOND",762,731.5,21.6,-29.58,1.24,25.92,1.02,1230,2020,630,440,168,25.9,764,9.2,420,290,77,0.4,3.8,23.6,23.36,0.12,"PP-6",-68.314425,44.231174,"PP6",15,3,56,"NE",31.9
"PP-7-LOWELEV-DIST","WOND",198.1,97.5,16.4,-27.65,-4.83,31.64,0.92,1560,810,2990,830,396,37.5,633,4.3,296,208,82,1.1,4,12.7,37.8,NA,"PP-7",-68.315469,44.231198,"PP7",15,3,260,"West",11.9
"PP-8-LOWELEV-DIST","WOND",365.8,365.8,20.3,-27.98,-4.04,28.43,0.93,2660,800,4130,1470,368,49.8,660,3.7,286,196,88,0.8,4.2,14.8,26,NA,"PP-8",-68.313625,44.231271,"PP8",15,7,100,"East",30.5
"PP-9-LOWELEV-DIST","WOND",243.8,152.4,25.4,-29.37,-5.98,29.29,0.54,2800,820,3380,1150,825,69.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PP-9",-68.314053,44.231347,"PP9",16,3,197,"South",24.3
"PP-10-LOWELEV-DIST","WOND",518.2,426.7,27.9,-28.42,-1.78,24.74,1.24,2230,1120,6280,1330,303,36.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PP-10",-68.31391,44.231145,"PP10",16,5,225,"SW",24.3
