"ID","Name","height","canopy","diam","d13C","d15N","C_foliar","N_foliar","Ca_foliar","P_foliar","K_foliar","Mg_foliar","Al_foliar","Zn_foliar","Ca_soil","P_soil","K_soil","Mg_soil","Al_soil","Zn_soil","pH","CEC","C_soil","N_soil","ID1","longitude","latitude","Label","Elevation","Slope","Aspect","Compass","retention"
"PP-1-HIGHELEV-DIST","STSAUV",411.5,190.5,27.7,-26.55,-6.52,39.09,1.13,1450,630,4310,730,270,50.8,491,1.6,272,162,143,3.9,4.2,20.9,10.11,0.38,"PP-1",-68.329148,44.311904,"PP1",134,19,314,"NE",30
"PP-2-HIGHELEV-DIST","STSAUV",426.7,182.9,25.4,-28.29,-5.59,32.37,0.67,1910,1980,680,400,344,28.8,508,2.2,284,184,156,4.8,4.2,22.6,12.81,0.5,"PP-2",-68.327688,44.311331,"PP2",159,3,254,"West",37.2
"PP-3-HIGHELEV-DIST","STSAUV",792.5,594.4,31,-27.49,-4.72,24.85,1.18,590,640,3340,430,217,18.2,762,3.6,401,194,173,4.1,3.9,25.1,24.85,1.18,"PP-3",-68.326502,44.310736,"PP3",185,20,275,"West",34.8
"PP-4-HIGHELEV-DIST","STSAUV",2011.7,182.9,22.6,-26.72,-6.71,30.07,0.71,740,2990,380,620,194,19.4,518,3.8,363,224,192,4.6,3.7,27.2,12.45,0.61,"PP-4",-68.32698,44.310686,"PP4",175,20,257,"West",34.9
"PP-5-HIGHELEV-DIST","STSAUV",579.1,396.2,27.9,-28.25,-3.83,47.09,1.24,1170,1710,5558,1010,515,38.2,218,3,142,147,177,2.1,4.6,12.8,23.1,NA,"PP-5",-68.327474,44.310921,"PP5",163,12,282,"West",31.7
"PP-6-HIGHELEV-DIST","STSAUV",182.9,182.9,28.2,-27.57,-4.68,25.04,0.64,1220,1190,4710,1080,1140,72.4,184,3,196,169,142,2.4,4.5,12.4,24.5,NA,"PP-6",-68.327431,44.310721,"PP6",164,13,251,"West",24.2
"PP-7-HIGHELEV-DIST","STSAUV",227.85,175.72,16.002,-27.79,-2.47,47.45,1.2,910,610,4540,940,353,47.9,338,3.2,163,138,128,2.2,4.7,11.7,21.5,NA,"PP-7",-68.326745,44.310307,"PP7",176,12,277,"West",27.8
"PP-8-HIGHELEV-DIST","STSAUV",379.75,244.48,8.89,-27.49,0.07,31.9,1.11,650,800,5740,600,408,21.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PP-8",-68.326015,44.31023,"PP8",180,11,122,"SE",19.5
"PP-9-HIGHELEV-DIST","STSAUV",303.8,183.36,10.16,-28.29,0.93,51.09,20.5,1190,930,6350,710,293,36.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PP-9",-68.324663,44.310261,"PP9",184,17,247,"SW",25.3
"PP-10-HIGHELEV-DIST","STSAUV",334.18,213.92,11.43,-26.72,0.54,31.29,0.83,2380,590,3330,730,348,37.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PP-10",-68.323976,44.310061,"PP10",195,25,237,"SW",17.1
"PP-1-LOWELEV-DIST","CADCLIFFS",335.3,335.3,22.9,-28.29,0.07,50.11,1.37,1610,1440,5430,970,563,64.6,168,0.2,42,15,335,1.3,4.5,23.3,22.08,0.26,"PP-1",-68.184994,44.327785,"PP1",29,18,120,"SE",43.6
"PP-2-LOWELEV-DIST","CADCLIFFS",1005.8,548.6,55.9,-28.29,-6.46,33.08,0.9,970,4110,570,830,243,28.3,298,2.6,97,129,507,5.5,3.8,27.5,14.33,0.6,"PP-2",-68.184909,44.327839,"PP2",28,15,115,"SE",44.5
"PP-3-LOWELEV-DIST","CADCLIFFS",1066.8,1158.2,50.8,-28.67,-2.36,47.9,0.81,1660,1530,5780,1010,559,69,954,7.7,362,399,153,10.1,4,28.5,25.62,1.05,"PP-3",-68.185274,44.327835,"PP3",32,14,123,"SE",41
"PP-4-LOWELEV-DIST","CADCLIFFS",515.4,304.8,17.8,-28.12,-4.8,33.78,0.62,1060,4290,660,640,171,32,579,4.5,214,224,123,7.8,3.7,29,20.1,0.64,"PP-4",-68.185045,44.32771,"PP4",29,16,129,"SE",47
"PP-5-LOWELEV-DIST","CADCLIFFS",426.7,365.8,20.3,-29.25,10.79,50.36,18.61,1730,1390,5380,960,510,65.4,1710,14.3,459,763,160,14.4,4,37.4,45.11,1.25,"PP-5",-68.185261,44.327888,"PP5",33,19,157,"SE",28.5
"PP-6-LOWELEV-DIST","CADCLIFFS",365.8,243.8,15.2,-31.65,-6.46,47.87,1.46,650,2610,500,540,269,16.7,1360,11.6,108,94,161,2.8,4.2,29.1,16.54,0.34,"PP-6",-68.185338,44.327824,"PP6",32,9,138,"SE",40.3
"PP-7-LOWELEV-DIST","CADCLIFFS",548.6,548.6,45.7,-26.96,-2.36,50.55,1.41,1500,810,3230,890,494,29,254,2.5,150,110,46,2.2,3.8,12,2.08,0.26,"PP-7",-68.185424,44.327916,"PP7",33,11,185,"South",38.7
"PP-8-LOWELEV-DIST","CADCLIFFS",426.7,304.8,25.4,-28.42,-4.8,50.29,1.04,1050,2760,560,590,303,35.2,293,1.6,101,79,202,2.2,4.1,17.6,10.03,0.43,"PP-8",-68.185467,44.327778,"PP8",32,19,130,"SE",45.3
"PP-9-LOWELEV-DIST","CADCLIFFS",487.7,243.8,16.5,-30.66,-3.72,23.59,0.52,4860,1800,6370,1550,685,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PP-9",-68.185617,44.327992,"PP9",38,14,80,"East",30.7
"PP-10-LOWELEV-DIST","CADCLIFFS",259.1,106.7,6.4,-29.89,-4,41.78,1.16,1430,1190,6030,1130,338,42.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PP-10",-68.185446,44.328192,"PP10",40,32,244,"SW",31.9
"PP-1-HIGHELEV-DIST","CAD",207.3,179.8,8.1,-27.65,-1.76,46.55,1.35,400,710,2070,550,285,15.8,835,9.4,268,387,29,5.1,3.8,28.6,21.18,0.5,"PP-1",-68.218785,44.325946,"PP1",205,20,19,"North",32.2
"PP-2-HIGHELEV-DIST","CAD",243.8,192,5.7,-28.85,-6.17,49.84,1.21,660,4780,720,750,254,32.3,726,9.7,297,400,33,5.2,3.9,30.7,23.2,0.72,"PP-2",-68.222364,44.331892,"PP2",277,10,80,"East",24.5
"PP-3-HIGHELEV-DIST","CAD",185.9,152.4,7.6,-27.66,-0.3,37.57,1.06,480,3860,640,820,349,19.7,225,0.8,33,22,133,0.9,4.4,10.7,19.26,0.87,"PP-3",-68.222701,44.331704,"PP3",279,5,150,"SE",37.7
"PP-4-HIGHELEV-DIST","CAD",243.8,219.5,10.8,-27.39,-2.57,48.58,22.38,640,4040,470,600,202,20.1,301,1.4,165,131,73,2.3,4.2,19.4,9.99,0.26,"PP-4",-68.222806,44.329033,"PP4",216,23,198,"South",34.4
"PP-5-HIGHELEV-DIST","CAD",286.5,248.4,11.1,-28.01,-1.76,48.14,1.42,370,4380,620,810,246,23.3,69,0.6,24,16,117,0.8,4.5,8.9,3.51,0.24,"PP-5",-68.222848,44.332203,"PP5",284,10,94,"East",35.9
"PP-6-HIGHELEV-DIST","CAD",396.2,259.1,15.2,-27.53,-3.4,39.96,1.06,780,720,1450,660,476,29,97,1.1,73,36,61,0.8,3.8,14.4,6.76,0.31,"PP-6",-68.22052,44.326652,"PP6",217,10,201,"South",29.9
"PP-7-HIGHELEV-DIST","CAD",274.3,121.9,10.2,-27.85,-2.04,43.44,0.99,490,3230,550,570,369,24.1,111,0.7,29,22,141,1.5,4.6,10.4,1.33,0.13,"PP-7",-68.220144,44.326079,"PP7",212,2,74,"East",17.6
"PP-8-HIGHELEV-DIST","CAD",213.4,121.9,6.4,-27.68,-1.95,34.87,0.9,390,1170,505,810,505,26.8,130,1.6,90,60,157,1.8,3.9,15,6.13,0.24,"PP-8",-68.219955,44.326558,"PP8",211,10,120,"SE",23.4
"PP-9-HIGHELEV-DIST","CAD",274.3,243.8,18.1,-29.91,-0.2,52.07,1.56,660,1200,395,1030,371,24.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PP-9",-68.222839,44.331599,"PP9",278,10,162,"South",16.3
"PP-10-HIGHELEV-DIST","CAD",265.4,256.42,16.3,-27.29,-5.55,49.6,0.86,1100,1060,473,1020,476,25.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PP-10",-68.220191,44.326505,"PP10",214,5,173,"South",13.6
"PP-11-LOWELEV-DIST","WOND",NA,NA,NA,-30.01,-4.97,46.94,0.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PP-12-LOWELEV-DIST","WOND",NA,NA,NA,-30.08,-4.35,49.08,1.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PP-13-LOWELEV-DIST","WOND",NA,NA,NA,-29.58,-6.74,40.09,0.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PP-14-LOWELEV-DIST","WOND",NA,NA,NA,-29.73,-5.84,48.22,1.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PP-15-LOWELEV-DIST","WOND",NA,NA,NA,-29.05,-6.3,48,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PP-11-HIGHELEV-DIST","STSAUV",NA,NA,NA,-29.7,-2.64,48.32,1.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PP-12-HIGHELEV-DIST","STSAUV",NA,NA,NA,-29.51,-2.65,49.87,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PP-13-HIGHELEV-DIST","STSAUV",NA,NA,NA,-29.68,-2.12,50.06,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PP-14-HIGHELEV-DIST","STSAUV",NA,NA,NA,-28.97,-3.29,48.36,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PP-15-HIGHELEV-DIST","STSAUV",NA,NA,NA,-29.34,-2.3,47.52,1.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PP-11-LOWELEV-DIST","CADCLIFFS",NA,NA,NA,-29.23,-1.96,48.5,1.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PP-12-LOWELEV-DIST","CADCLIFFS",NA,NA,NA,-29.71,-1.63,47.85,1.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PP-13-LOWELEV-DIST","CADCLIFFS",NA,NA,NA,-30.83,-2.48,48.34,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PP-14-LOWELEV-DIST","CADCLIFFS",NA,NA,NA,-30.22,-1.25,48.65,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PP-15-LOWELEV-DIST","CADCLIFFS",NA,NA,NA,-29.92,-1.89,48.45,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CadCliff_1","CADCLIFFS",NA,NA,NA,NA,NA,1.1,48.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CadCliff_2","CADCLIFFS",NA,NA,NA,NA,NA,0.89,45.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CadCliff_3","CADCLIFFS",NA,NA,NA,NA,NA,1.06,51.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CadCliff_4","CADCLIFFS",NA,NA,NA,NA,NA,1.35,50.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CadCliff_5","CADCLIFFS",NA,NA,NA,NA,NA,1.13,48.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SoCad_1","CAD",NA,NA,NA,NA,NA,1.34,49.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SoCad_2","CAD",NA,NA,NA,NA,NA,1.3,47.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SoCad_3","CAD",NA,NA,NA,NA,NA,1.12,35.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SoCad_4","CAD",NA,NA,NA,NA,NA,1.15,48.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SoCad_5","CAD",NA,NA,NA,NA,NA,1.09,47.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"StS_1","STSAUV",NA,NA,NA,NA,NA,0.87,48.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"StS_2","STSAUV",NA,NA,NA,NA,NA,0.93,49.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"StS_3","STSAUV",NA,NA,NA,NA,NA,1.05,50.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"StS_4","STSAUV",NA,NA,NA,NA,NA,1.17,50.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"StS_5","STSAUV",NA,NA,NA,NA,NA,1,51.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wonderland_1","WOND",NA,NA,NA,NA,NA,0.98,47.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wonderland_2","WOND",NA,NA,NA,NA,NA,0.96,47.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wonderland_3","WOND",NA,NA,NA,NA,NA,0.81,49.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wonderland_4","WOND",NA,NA,NA,NA,NA,0.9,48.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wonderland_5","WOND",NA,NA,NA,NA,NA,0.93,50.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
