,,12-Sep,3-Oct,12-Nov,% retain.,8 wks
ID,Name, soil+20mL H2O,,,,
PP-1-LOWELEV-DIST,WOND,0.105,0.256,0.121,0.065,25.40%
PP-2-LOWELEV-DIST,WOND,0.074,0.223,0.095,0.033,14.80%
PP-3-LOWELEV-DIST,WOND,0.094,0.267,0.116,0.051,19.10%
PP-4-LOWELEV-DIST,WOND,0.058,0.205,0.084,0.019,9.30%
PP-5-LOWELEV-DIST,WOND,0.076,0.22,0.098,0.041,18.60%
PP-6-LOWELEV-DIST,WOND,0.123,0.27,0.147,0.086,31.90%
PP-7-LOWELEV-DIST,WOND,0.073,0.219,0.077,0.026,11.90%
PP-8-LOWELEV-DIST,WOND,0.124,0.272,0.144,0.083,30.50%
PP-9-LOWELEV-DIST,WOND,0.084,0.235,0.104,0.057,24.30%
PP-10-LOWELEV-DIST,WOND,0.094,0.243,0.117,0.059,24.30%
PP-1-HIGHELEV-DIST,STSAUV,0.119,0.267,0.142,0.08,30.00%
PP-2-HIGHELEV-DIST,STSAUV,0.11,12.3,31.05,11.56,37.20%
PP-3-HIGHELEV-DIST,STSAUV,0.094,10,28.88,10.04,34.80%
PP-4-HIGHELEV-DIST,STSAUV,0.06,12.1,30.83,10.76,34.90%
PP-5-HIGHELEV-DIST,STSAUV,0.119,10.3,29.28,9.29,31.70%
PP-6-HIGHELEV-DIST,STSAUV,0.095,0.244,0.104,0.059,24.20%
PP-7-HIGHELEV-DIST,STSAUV,0.106,0.259,0.125,0.072,27.80%
PP-8-HIGHELEV-DIST,STSAUV,0.088,0.236,0.104,0.046,19.50%
PP-9-HIGHELEV-DIST,STSAUV,0.099,0.249,0.126,0.063,25.30%
PP-10-HIGHELEV-DIST,STSAUV,0.085,0.234,0.097,0.04,17.10%
PP-1-LOWELEV-DIST,CADCLIFFS,0.089,13.1,31.68,13.82,43.60%
PP-2-LOWELEV-DIST,CADCLIFFS,0.097,11.1,29.91,13.32,44.50%
PP-3-LOWELEV-DIST,CADCLIFFS,0.08,15,33.67,13.8,41.00%
PP-4-LOWELEV-DIST,CADCLIFFS,0.065,14.6,34.46,16.21,47.00%
PP-5-LOWELEV-DIST,CADCLIFFS,0.115,0.263,0.138,0.075,28.50%
PP-6-LOWELEV-DIST,CADCLIFFS,0.088,13.3,31.96,12.89,40.30%
PP-7-LOWELEV-DIST,CADCLIFFS,0.099,10.9,29.62,11.46,38.70%
PP-8-LOWELEV-DIST,CADCLIFFS,0.085,15.5,34.02,15.41,45.30%
PP-9-LOWELEV-DIST,CADCLIFFS,0.115,14.7,34.6,10.61,30.70%
PP-10-LOWELEV-DIST,CADCLIFFS,0.123,0.27,0.147,0.086,31.90%
PP-1-HIGHELEV-DIST,CAD,0.133,0.283,0.146,0.091,32.20%
PP-2-HIGHELEV-DIST,CAD,0.11,0.261,0.135,0.064,24.50%
PP-3-HIGHELEV-DIST,CAD,0.111,17.2,36.78,13.86,37.70%
PP-4-HIGHELEV-DIST,CAD,0.127,19.5,38.64,13.31,34.40%
PP-5-HIGHELEV-DIST,CAD,0.133,17.2,36.84,13.23,35.90%
PP-6-HIGHELEV-DIST,CAD,0.124,19.6,38.74,11.57,29.90%
PP-7-HIGHELEV-DIST,CAD,0.089,0.238,0.116,0.042,17.60%
PP-8-HIGHELEV-DIST,CAD,0.097,0.244,0.119,0.057,23.40%
PP-9-HIGHELEV-DIST,CAD,0.08,0.227,0.101,0.037,16.30%
PP-10-HIGHELEV-DIST,CAD,0.065,0.213,0.093,0.029,13.60%
