ID1,Name,longitude,latitude,Label,Elevation,Slope,Aspect
PP-1,CAD,-68.218785,44.325946,PP1,226.6447368,20,19
PP-2,CAD,-68.222364,44.331892,PP2,306.25,10,80
PP-3,CAD,-68.222701,44.331704,PP3,308.2236842,5,150
PP-4,CAD,-68.220539,44.326775,PP4,209.2105263,9,188
PP-5,CAD,-68.222312,44.332026,PP5,313.8157895,6,88
PP-6,CAD,-68.22052,44.326652,PP6,239.8026316,10,201
PP-7,CAD,-68.220897,44.32855,PP7,259.5394737,12,198
PP-8,CAD,-68.219955,44.326558,PP8,233.2236842,10,120
PP-9,CAD,-68.222839,44.331599,PP9,307.2368421,10,162
PP-10,CAD,-68.220191,44.326505,PP10,236.5131579,5,173
PP-11,CAD,-68.228808,44.347758,PP11,461.1842105,6,158
PP-12,CAD,-68.229113,44.341616,PP12,391.1184211,8,172
PP-13,CAD,-68.228414,44.33947,PP13,371.3815789,8,110
PP-14,CAD,-68.227951,44.339545,PP14,362.8289474,6,85
PP-15,CAD,-68.228431,44.339127,PP15,365.4605263,16,168
PP-1,CADCLIFFS,-68.184994,44.327785,PP1,27.30263158,29,120
PP-2,CADCLIFFS,-68.184909,44.327839,PP2,27.30263158,28,115
PP-3,CADCLIFFS,-68.185274,44.327835,PP3,31.25,32,123
PP-4,CADCLIFFS,-68.185045,44.32771,PP4,26.97368421,29,129
PP-5,CADCLIFFS,-68.185261,44.327888,PP5,31.90789474,33,157
PP-6,CADCLIFFS,-68.185338,44.327824,PP6,31.25,32,138
PP-7,CADCLIFFS,-68.185424,44.327916,PP7,31.25,33,185
PP-8,CADCLIFFS,-68.185467,44.327778,PP8,33.22368421,32,130
PP-9,CADCLIFFS,-68.185617,44.327992,PP9,39.80263158,38,80
PP-10,CADCLIFFS,-68.185446,44.328192,PP10,39.80263158,40,244
PP-11,CADCLIFFS,-68.185515,44.327514,PP11,37.17105263,27,270
PP-12,CADCLIFFS,-68.185598,44.327558,PP12,36.84210526,29,140
PP-13,CADCLIFFS,-68.185728,44.327667,PP13,34.86842105,31,176
PP-14,CADCLIFFS,-68.185713,44.327707,PP14,31.25,32,121
PP-15,CADCLIFFS,-68.185714,44.327746,PP15,37.5,33,144
PP-1,STSAUV,-68.329148,44.311904,PP1,148.0263158,19,314
PP-2,STSAUV,-68.327688,44.311331,PP2,175.6578947,3,254
PP-3,STSAUV,-68.326502,44.310736,PP3,204.6052632,20,275
PP-4,STSAUV,-68.32698,44.310686,PP4,193.4210526,20,257
PP-5,STSAUV,-68.327474,44.310921,PP5,180.2631579,12,282
PP-6,STSAUV,-68.327431,44.310721,PP6,181.25,13,251
PP-7,STSAUV,-68.326745,44.310307,PP7,194.4078947,12,277
PP-8,STSAUV,-68.326015,44.31023,PP8,199.0131579,11,122
PP-9,STSAUV,-68.324663,44.310261,PP9,203.2894737,17,247
PP-10,STSAUV,-68.323976,44.310061,PP10,215.4605263,25,237
PP-11,STSAUV,-68.322952,44.310187,PP11,222.6973684,1,317
PP-12,STSAUV,-68.325237,44.311642,PP12,214.1447368,19,264
PP-13,STSAUV,-68.325677,44.31216,PP13,208.8815789,3,302
PP-14,STSAUV,-68.326271,44.310996,PP14,204.6052632,16,239
PP-15,STSAUV,-68.3263,44.310799,PP15,200.6578947,9,301
PP-1,WOND,-68.32232,44.26728,PP1,13.15789474,2,343
PP-2,WOND,-68.315305,44.231704,PP2,23.35526316,5,245
PP-3,WOND,-68.325744,44.268171,PP3,12.17105263,5,325
PP-4,WOND,-68.314983,44.231612,PP4,23.35526316,1,313
PP-5,WOND,-68.314683,44.231535,PP5,19.07894737,4,94
PP-6,WOND,-68.314648,44.231487,PP6,27.96052632,4,88
PP-7,WOND,-68.313489,44.230945,PP7,18.09210526,4,109
PP-8,WOND,-68.312919,44.230163,PP8,10.52631579,5,204
PP-9,WOND,-68.313421,44.230741,PP9,15.46052632,3,116
PP-10,WOND,-68.318003,44.245159,PP10,15.78947368,1,240
PP-11,WOND,-68.314879,44.231419,PP11,11.18421053,6,212
PP-12,WOND,-68.315178,44.23162,PP12,18.09210526,4,272
PP-13,WOND,-68.315222,44.23156,PP13,18.42105263,6,215
PP-14,WOND,-68.315083,44.231716,PP14,15.13157895,1,167
PP-15,WOND,-68.3149,44.231739,PP15,21.71052632,5,178
