ID1,Name,longitude,latitude,Label,Elevation,Slope,Aspect
PP-1,CAD,-68.218785,44.325946,PP1,689,20,19
PP-2,CAD,-68.222364,44.331892,PP2,931,10,80
PP-3,CAD,-68.222701,44.331704,PP3,937,5,150
PP-4,CAD,-68.220539,44.326775,PP4,636,9,188
PP-5,CAD,-68.222312,44.332026,PP5,954,6,88
PP-6,CAD,-68.220520,44.326652,PP6,729,10,201
PP-7,CAD,-68.220897,44.328550,PP7,789,12,198
PP-8,CAD,-68.219955,44.326558,PP8,709,10,120
PP-9,CAD,-68.222839,44.331599,PP9,934,10,162
PP-10,CAD,-68.220191,44.326505,PP10,719,5,173
PP-11,CAD,-68.228808,44.347758,PP11,1402,6,158
PP-12,CAD,-68.229113,44.341616,PP12,1189,8,172
PP-13,CAD,-68.228414,44.339470,PP13,1129,8,110
PP-14,CAD,-68.227951,44.339545,PP14,1103,6,85
PP-15,CAD,-68.228431,44.339127,PP15,1111,16,168
PP-1,CADCLIFFS,-68.184994,44.327785,PP1,83,29,120
PP-2,CADCLIFFS,-68.184909,44.327839,PP2,83,28,115
PP-3,CADCLIFFS,-68.185274,44.327835,PP3,95,32,123
PP-4,CADCLIFFS,-68.185045,44.327710,PP4,82,29,129
PP-5,CADCLIFFS,-68.185261,44.327888,PP5,97,33,157
PP-6,CADCLIFFS,-68.185338,44.327824,PP6,95,32,138
PP-7,CADCLIFFS,-68.185424,44.327916,PP7,95,33,185
PP-8,CADCLIFFS,-68.185467,44.327778,PP8,101,32,130
PP-9,CADCLIFFS,-68.185617,44.327992,PP9,121,38,80
PP-10,CADCLIFFS,-68.185446,44.328192,PP10,121,40,244
PP-11,CADCLIFFS,-68.185515,44.327514,PP11,113,27,270
PP-12,CADCLIFFS,-68.185598,44.327558,PP12,112,29,140
PP-13,CADCLIFFS,-68.185728,44.327667,PP13,106,31,176
PP-14,CADCLIFFS,-68.185713,44.327707,PP14,95,32,121
PP-15,CADCLIFFS,-68.185714,44.327746,PP15,114,33,144
PP-1,STSAUV,-68.329148,44.311904,PP1,450,19,314
PP-2,STSAUV,-68.327688,44.311331,PP2,534,3,254
PP-3,STSAUV,-68.326502,44.310736,PP3,622,20,275
PP-4,STSAUV,-68.326980,44.310686,PP4,588,20,257
PP-5,STSAUV,-68.327474,44.310921,PP5,548,12,282
PP-6,STSAUV,-68.327431,44.310721,PP6,551,13,251
PP-7,STSAUV,-68.326745,44.310307,PP7,591,12,277
PP-8,STSAUV,-68.326015,44.310230,PP8,605,11,122
PP-9,STSAUV,-68.324663,44.310261,PP9,618,17,247
PP-10,STSAUV,-68.323976,44.310061,PP10,655,25,237
PP-11,STSAUV,-68.322952,44.310187,PP11,677,1,317
PP-12,STSAUV,-68.325237,44.311642,PP12,651,19,264
PP-13,STSAUV,-68.325677,44.312160,PP13,635,3,302
PP-14,STSAUV,-68.326271,44.310996,PP14,622,16,239
PP-15,STSAUV,-68.326300,44.310799,PP15,610,9,301
PP-1,WOND,-68.322320,44.267280,PP1,40,2,343
PP-2,WOND,-68.315305,44.231704,PP2,71,5,245
PP-3,WOND,-68.325744,44.268171,PP3,37,5,325
PP-4,WOND,-68.314983,44.231612,PP4,71,1,313
PP-5,WOND,-68.314683,44.231535,PP5,58,4,94
PP-6,WOND,-68.314648,44.231487,PP6,85,4,88
PP-7,WOND,-68.313489,44.230945,PP7,55,4,109
PP-8,WOND,-68.312919,44.230163,PP8,32,5,204
PP-9,WOND,-68.313421,44.230741,PP9,47,3,116
PP-10,WOND,-68.318003,44.245159,PP10,48,1,240
PP-11,WOND,-68.314879,44.231419,PP11,34,6,212
PP-12,WOND,-68.315178,44.231620,PP12,55,4,272
PP-13,WOND,-68.315222,44.231560,PP13,56,6,215
PP-14,WOND,-68.315083,44.231716,PP14,46,1,167
PP-15,WOND,-68.314900,44.231739,PP15,66,5,178
